Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),4.27,4.27
kexAB (s^-1),44,69
R1 (s^-1),0.96,0.10
R2 (s^-1),32.19,0.19
Red. Chi-sq,0.18
