Fit #1
G_C8_Off_clean Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),4.27,4.27
kexAB (s^-1),8501,571
R1 (s^-1),2.69,0.04
R2 (s^-1),15.73,0.06
Red. Chi-sq,0.25
