Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.44,0.07
kexAB (s^-1),3346,1205
R1 (s^-1),2.00,0.09
R2 (s^-1),14.28,0.31
Red. Chi-sq,0.47
