Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.069,0.005
dwB (ppm),3.20,0.33
kexAB (s^-1),2177,355
R1 (s^-1),2.49,0.04
R2 (s^-1),20.21,0.08
Red. Chi-sq,0.23
