Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),2.69,0.08
kexAB (s^-1),3606,263
R1 (s^-1),2.97,0.07
R2 (s^-1),23.38,0.24
Red. Chi-sq,0.29
