Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),3.60,0.07
kexAB (s^-1),499,12
R1 (s^-1),1.13,0.07
R2 (s^-1),18.28,0.09
Red. Chi-sq,0.21
