Fit #1
gc1p Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),2.98,0.01
kexAB (s^-1),25,1
R1 (s^-1),1.41,0.07
R2 (s^-1),18.75,0.08
Red. Chi-sq,0.26
