Fit #1
gc8 Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),2.97,0.00
kexAB (s^-1),25,1
R1 (s^-1),1.40,0.07
R2 (s^-1),27.62,0.09
Red. Chi-sq,0.26
