Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),2.90,0.06
kexAB (s^-1),2815,124
R1 (s^-1),1.42,0.08
R2 (s^-1),28.00,0.16
Red. Chi-sq,0.12
