Fit #1
ac1p Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),3.24,0.07
kexAB (s^-1),309,9
R1 (s^-1),0.10,0.51
R2 (s^-1),27.46,0.56
Red. Chi-sq,2.24
