Fit #1
ac8 Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),2.45,0.08
kexAB (s^-1),309,9
R1 (s^-1),0.10,0.67
R2 (s^-1),36.60,0.67
Red. Chi-sq,2.24
