Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),4.30,0.15
kexAB (s^-1),3070,330
R1 (s^-1),1.40,0.13
R2 (s^-1),19.11,0.31
Red. Chi-sq,0.38
