Fit #1
gc1p Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.78,0.09
kexAB (s^-1),5458,860
R1 (s^-1),2.25,0.17
R2 (s^-1),16.45,0.69
Red. Chi-sq,1.50
