Fit #1
G10_C8_Off Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),6.42,2.91
kexAB (s^-1),4478,7762
R1 (s^-1),3.21,2.01
R2 (s^-1),51.03,6.83
Red. Chi-sq,13.67
