Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),2.93,0.09
kexAB (s^-1),3442,270
R1 (s^-1),2.92,0.07
R2 (s^-1),23.56,0.24
Red. Chi-sq,0.30
