Fit #1
ac1p Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),4.61,0.19
kexAB (s^-1),2690,320
R1 (s^-1),1.85,0.51
R2 (s^-1),21.14,0.97
Red. Chi-sq,1.62
