Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),4.03,0.13
kexAB (s^-1),392,19
R1 (s^-1),1.38,0.11
R2 (s^-1),22.05,0.14
Red. Chi-sq,0.59
