Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),4.15,0.20
kexAB (s^-1),392,19
R1 (s^-1),1.59,0.14
R2 (s^-1),31.51,0.17
Red. Chi-sq,0.59
