Fit #1
gc8 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),5.01,0.13
kexAB (s^-1),103,4
R1 (s^-1),2.56,0.07
R2 (s^-1),20.01,0.09
Red. Chi-sq,0.43
