Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.400,2.400
dwB (ppm),2.73,0.03
kexAB (s^-1),2085,43
R1 (s^-1),0.98,0.21
R2 (s^-1),30.17,0.33
Red. Chi-sq,0.22
