Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.445,0.027
dwB (ppm),3.04,0.05
kexAB (s^-1),845,72
R1 (s^-1),1.37,0.06
R2 (s^-1),27.47,0.09
Red. Chi-sq,0.15
