Fit #1
gc1p Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),1.49,0.07
kexAB (s^-1),3654,334
R1 (s^-1),2.27,0.09
R2 (s^-1),15.66,0.23
Red. Chi-sq,0.29
