Fit #1
gc8 Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),1.40,0.07
kexAB (s^-1),3654,334
R1 (s^-1),2.58,0.07
R2 (s^-1),22.89,0.20
Red. Chi-sq,0.29
