Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.080,0.080
dwB (ppm),2.78,0.21
kexAB (s^-1),1981,263
R1 (s^-1),2.50,0.04
R2 (s^-1),20.23,0.07
Red. Chi-sq,0.22
