Fit #1
G10_C8_Off Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),4.12,0.10
kexAB (s^-1),207,11
R1 (s^-1),0.01,0.73
R2 (s^-1),41.84,1.06
Red. Chi-sq,2.43
