Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),3.25,0.07
kexAB (s^-1),3340,173
R1 (s^-1),3.06,0.05
R2 (s^-1),18.82,0.11
Red. Chi-sq,0.28
