Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),3.30,0.09
kexAB (s^-1),3340,173
R1 (s^-1),2.56,0.07
R2 (s^-1),12.81,0.15
Red. Chi-sq,0.28
