offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
-3.600000000000000000e+03,1.000000000000000000e+02,2.853322256521887645e+00,0.000000000000000000e+00,1.995826270888846921e+01,0.000000000000000000e+00,9.999998235887552767e-01
-3.569849246231155576e+03,1.000000000000000000e+02,2.853549143181745684e+00,0.000000000000000000e+00,1.996231484927102429e+01,0.000000000000000000e+00,9.999998176981755860e-01
-3.539698492462311606e+03,1.000000000000000000e+02,2.853781961862898786e+00,0.000000000000000000e+00,1.996647804538952187e+01,0.000000000000000000e+00,9.999998105727645470e-01
-3.509547738693467181e+03,1.000000000000000000e+02,2.854020926455200335e+00,0.000000000000000000e+00,1.997076147321013195e+01,0.000000000000000000e+00,9.999998027373870890e-01
-3.479396984924623212e+03,1.000000000000000000e+02,2.854266260656972420e+00,0.000000000000000000e+00,1.997517463544954808e+01,0.000000000000000000e+00,9.999997947071722626e-01
-3.449246231155778787e+03,1.000000000000000000e+02,2.854518196944776154e+00,0.000000000000000000e+00,1.997972549923133556e+01,0.000000000000000000e+00,9.999997868072569851e-01
-3.419095477386934817e+03,1.000000000000000000e+02,2.854776975965763963e+00,0.000000000000000000e+00,1.998441928290503711e+01,0.000000000000000000e+00,9.999997790038333001e-01
-3.388944723618090393e+03,1.000000000000000000e+02,2.855042846532628076e+00,0.000000000000000000e+00,1.998925803433621695e+01,0.000000000000000000e+00,9.999997708112789985e-01
-3.358793969849246423e+03,1.000000000000000000e+02,2.855316070830042907e+00,0.000000000000000000e+00,1.999424611665745033e+01,0.000000000000000000e+00,9.999997619444983554e-01
-3.328643216080401999e+03,1.000000000000000000e+02,2.855596920746987788e+00,0.000000000000000000e+00,1.999938524512799631e+01,0.000000000000000000e+00,9.999997517514941370e-01
-3.298492462311557574e+03,1.000000000000000000e+02,2.855885689960822926e+00,0.000000000000000000e+00,2.000468715392025842e+01,0.000000000000000000e+00,9.999997408210690164e-01
-3.268341708542713604e+03,1.000000000000000000e+02,2.856182686346749655e+00,0.000000000000000000e+00,2.001016381761110097e+01,0.000000000000000000e+00,9.999997297745184532e-01
-3.238190954773869180e+03,1.000000000000000000e+02,2.856488230242215209e+00,0.000000000000000000e+00,2.001582477081683464e+01,0.000000000000000000e+00,9.999997188745615162e-01
-3.208040201005025210e+03,1.000000000000000000e+02,2.856802653612990905e+00,0.000000000000000000e+00,2.002167559781855743e+01,0.000000000000000000e+00,9.999997077859483774e-01
-3.177889447236180786e+03,1.000000000000000000e+02,2.857126305546130229e+00,0.000000000000000000e+00,2.002772294833448541e+01,0.000000000000000000e+00,9.999996961791547401e-01
-3.147738693467336816e+03,1.000000000000000000e+02,2.857459547386981047e+00,0.000000000000000000e+00,2.003396868513482332e+01,0.000000000000000000e+00,9.999996829802753062e-01
-3.117587939698492391e+03,1.000000000000000000e+02,2.857802766896308189e+00,0.000000000000000000e+00,2.004042313487707361e+01,0.000000000000000000e+00,9.999996682129852488e-01
-3.087437185929647967e+03,1.000000000000000000e+02,2.858156377205498533e+00,0.000000000000000000e+00,2.004710227712666892e+01,0.000000000000000000e+00,9.999996527035882599e-01
-3.057286432160803997e+03,1.000000000000000000e+02,2.858520811747734314e+00,0.000000000000000000e+00,2.005402135627582538e+01,0.000000000000000000e+00,9.999996371291735020e-01
-3.027135678391960028e+03,1.000000000000000000e+02,2.858896522848580979e+00,0.000000000000000000e+00,2.006119247755850665e+01,0.000000000000000000e+00,9.999996216079849454e-01
-2.996984924623115603e+03,1.000000000000000000e+02,2.859283978218635891e+00,0.000000000000000000e+00,2.006862052558335563e+01,0.000000000000000000e+00,9.999996048466789356e-01
-2.966834170854271179e+03,1.000000000000000000e+02,2.859683685527886876e+00,0.000000000000000000e+00,2.007632425868541759e+01,0.000000000000000000e+00,9.999995880980163676e-01
-2.936683417085427209e+03,1.000000000000000000e+02,2.860096154700491944e+00,0.000000000000000000e+00,2.008430104788931203e+01,0.000000000000000000e+00,9.999995682227661442e-01
-2.906532663316582784e+03,1.000000000000000000e+02,2.860521951316564948e+00,0.000000000000000000e+00,2.009257276822654603e+01,0.000000000000000000e+00,9.999995464491887587e-01
-2.876381909547738815e+03,1.000000000000000000e+02,2.860961672350295970e+00,0.000000000000000000e+00,2.010116177627196521e+01,0.000000000000000000e+00,9.999995239091821198e-01
-2.846231155778894390e+03,1.000000000000000000e+02,2.861415945056706711e+00,0.000000000000000000e+00,2.011008832711604555e+01,0.000000000000000000e+00,9.999995012561874175e-01
-2.816080402010050420e+03,1.000000000000000000e+02,2.861885426676234356e+00,0.000000000000000000e+00,2.011936884034366813e+01,0.000000000000000000e+00,9.999994782885266442e-01
