Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.040,0.040
dwB (ppm),6.98,15.82
kexAB (s^-1),4432,23505
R1 (s^-1),4.20,1.35
R2 (s^-1),37.03,3.56
Red. Chi-sq,8.83
