Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.040,0.040
dwB (ppm),7.26,12.98
kexAB (s^-1),4432,23505
R1 (s^-1),5.35,1.18
R2 (s^-1),31.58,3.24
Red. Chi-sq,8.83
