Fit #1
gc8 Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),0.97,0.11
kexAB (s^-1),5251,747
R1 (s^-1),2.45,0.14
R2 (s^-1),25.52,0.69
Red. Chi-sq,1.41
