Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),4.27,0.25
kexAB (s^-1),617,62
R1 (s^-1),1.58,0.07
R2 (s^-1),35.04,0.13
Red. Chi-sq,1.55
