Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.550,0.550
dwB (ppm),4.85,0.62
kexAB (s^-1),3269,973
R1 (s^-1),2.69,0.87
R2 (s^-1),29.73,1.91
Red. Chi-sq,3.77
