Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.550,0.550
dwB (ppm),5.53,0.56
kexAB (s^-1),3269,973
R1 (s^-1),3.13,0.78
R2 (s^-1),23.95,1.71
Red. Chi-sq,3.77
