SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2/hashimi/at_20210521_scaf2AAG_m1A_10C/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

234 points for Peak 1

Converged after 246 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   -3.098e-002    1.033e+000  
T     =      11.314s      153.855s  

RSS   =   1.369e-003
SD    =   2.419e-003

Point       Tau          Expt          Calc       Difference
  100     100.000s    5.373e-001    5.391e-001    1.764e-003
  101     101.000s    5.337e-001    5.356e-001    1.865e-003
  102     102.000s    5.302e-001    5.321e-001    1.944e-003
  103     103.000s    5.266e-001    5.287e-001    2.034e-003
  104     104.000s    5.231e-001    5.252e-001    2.111e-003
  105     105.000s    5.197e-001    5.218e-001    2.171e-003
  106     106.000s    5.162e-001    5.185e-001    2.255e-003
  107     107.000s    5.128e-001    5.151e-001    2.333e-003
  108     108.000s    5.093e-001    5.118e-001    2.427e-003
  109     109.000s    5.060e-001    5.085e-001    2.439e-003
  110     110.000s    5.027e-001    5.052e-001    2.468e-003
  111     111.000s    4.993e-001    5.019e-001    2.616e-003
  112     112.000s    4.959e-001    4.986e-001    2.703e-003
  113     113.000s    4.927e-001    4.954e-001    2.732e-003
  114     114.000s    4.894e-001    4.922e-001    2.774e-003
  115     115.000s    4.862e-001    4.890e-001    2.760e-003
  116     116.000s    4.830e-001    4.858e-001    2.885e-003
  117     117.000s    4.798e-001    4.827e-001    2.901e-003
  118     118.000s    4.767e-001    4.796e-001    2.828e-003
  119     119.000s    4.736e-001    4.765e-001    2.846e-003
  120     120.000s    4.705e-001    4.734e-001    2.870e-003
  121     121.000s    4.673e-001    4.703e-001    2.968e-003
  122     122.000s    4.643e-001    4.673e-001    3.006e-003
  123     123.000s    4.612e-001    4.642e-001    3.058e-003
  124     124.000s    4.581e-001    4.612e-001    3.116e-003
  125     125.000s    4.551e-001    4.582e-001    3.124e-003
  126     126.000s    4.521e-001    4.553e-001    3.161e-003
  127     127.000s    4.491e-001    4.523e-001    3.169e-003
  128     128.000s    4.463e-001    4.494e-001    3.128e-003
  129     129.000s    4.433e-001    4.465e-001    3.124e-003
  130     130.000s    4.404e-001    4.436e-001    3.134e-003
  131     131.000s    4.376e-001    4.407e-001    3.122e-003
  132     132.000s    4.348e-001    4.379e-001    3.087e-003
  133     133.000s    4.319e-001    4.350e-001    3.078e-003
  134     134.000s    4.292e-001    4.322e-001    3.024e-003
  135     135.000s    4.264e-001    4.294e-001    2.960e-003
  136     136.000s    4.237e-001    4.266e-001    2.938e-003
  137     137.000s    4.208e-001    4.239e-001    3.007e-003
  138     138.000s    4.181e-001    4.211e-001    3.026e-003
  139     139.000s    4.154e-001    4.184e-001    3.013e-003
  140     140.000s    4.127e-001    4.157e-001    2.987e-003
  141     141.000s    4.100e-001    4.130e-001    2.954e-003
  142     142.000s    4.074e-001    4.103e-001    2.933e-003
  143     143.000s    4.048e-001    4.076e-001    2.890e-003
  144     144.000s    4.021e-001    4.050e-001    2.871e-003
  145     145.000s    3.995e-001    4.024e-001    2.882e-003
  146     146.000s    3.969e-001    3.998e-001    2.839e-003
  147     147.000s    3.944e-001    3.972e-001    2.825e-003
  148     148.000s    3.918e-001    3.946e-001    2.784e-003
  149     149.000s    3.894e-001    3.920e-001    2.674e-003
  150     150.000s    3.869e-001    3.895e-001    2.603e-003
  151     151.000s    3.844e-001    3.870e-001    2.553e-003
  152     152.000s    3.820e-001    3.845e-001    2.490e-003
  153     153.000s    3.795e-001    3.820e-001    2.439e-003
  154     154.000s    3.772e-001    3.795e-001    2.362e-003
  155     155.000s    3.747e-001    3.771e-001    2.321e-003
  156     156.000s    3.723e-001    3.746e-001    2.293e-003
  157     157.000s    3.700e-001    3.722e-001    2.220e-003
  158     158.000s    3.676e-001    3.698e-001    2.147e-003
  159     159.000s    3.653e-001    3.674e-001    2.077e-003
  160     160.000s    3.630e-001    3.650e-001    2.020e-003
  161     161.000s    3.607e-001    3.626e-001    1.950e-003
  162     162.000s    3.584e-001    3.603e-001    1.884e-003
  163     163.000s    3.562e-001    3.580e-001    1.781e-003
  164     164.000s    3.540e-001    3.556e-001    1.631e-003
  165     165.000s    3.518e-001    3.533e-001    1.537e-003
  166     166.000s    3.495e-001    3.510e-001    1.499e-003
  167     167.000s    3.473e-001    3.488e-001    1.461e-003
  168     168.000s    3.451e-001    3.465e-001    1.421e-003
  169     169.000s    3.429e-001    3.443e-001    1.349e-003
  170     170.000s    3.408e-001    3.420e-001    1.259e-003
  171     171.000s    3.387e-001    3.398e-001    1.148e-003
  172     172.000s    3.365e-001    3.376e-001    1.105e-003
  173     173.000s    3.344e-001    3.354e-001    1.062e-003
  174     174.000s    3.322e-001    3.333e-001    1.014e-003
  175     175.000s    3.302e-001    3.311e-001    9.123e-004
  176     176.000s    3.282e-001    3.289e-001    7.400e-004
  177     177.000s    3.262e-001    3.268e-001    6.203e-004
  178     178.000s    3.242e-001    3.247e-001    4.816e-004
  179     179.000s    3.222e-001    3.226e-001    4.015e-004
  180     180.000s    3.203e-001    3.205e-001    2.516e-004
  181     181.000s    3.182e-001    3.184e-001    1.978e-004
  182     182.000s    3.162e-001    3.164e-001    1.178e-004
  183     183.000s    3.143e-001    3.143e-001   -2.698e-005
  184     184.000s    3.124e-001    3.123e-001   -1.382e-004
  185     185.000s    3.105e-001    3.103e-001   -2.726e-004
  186     186.000s    3.086e-001    3.082e-001   -3.137e-004
  187     187.000s    3.067e-001    3.063e-001   -4.975e-004
  188     188.000s    3.049e-001    3.043e-001   -6.813e-004
  189     189.000s    3.030e-001    3.023e-001   -7.317e-004
  190     190.000s    3.012e-001    3.003e-001   -8.136e-004
  191     191.000s    2.993e-001    2.984e-001   -8.902e-004
  192     192.000s    2.975e-001    2.965e-001   -1.034e-003
  193     193.000s    2.957e-001    2.945e-001   -1.177e-003
  194     194.000s    2.940e-001    2.926e-001   -1.321e-003
  195     195.000s    2.921e-001    2.907e-001   -1.397e-003
  196     196.000s    2.903e-001    2.889e-001   -1.450e-003
  197     197.000s    2.886e-001    2.870e-001   -1.597e-003
  198     198.000s    2.869e-001    2.851e-001   -1.744e-003
  199     199.000s    2.851e-001    2.833e-001   -1.875e-003
  200     200.000s    2.835e-001    2.814e-001   -2.034e-003
  201     201.000s    2.818e-001    2.796e-001   -2.223e-003
  202     202.000s    2.801e-001    2.778e-001   -2.327e-003
  203     203.000s    2.783e-001    2.760e-001   -2.347e-003
  204     204.000s    2.766e-001    2.742e-001   -2.400e-003
  205     205.000s    2.750e-001    2.724e-001   -2.523e-003
  206     206.000s    2.733e-001    2.707e-001   -2.668e-003
  207     207.000s    2.717e-001    2.689e-001   -2.752e-003
  208     208.000s    2.701e-001    2.672e-001   -2.896e-003
  209     209.000s    2.685e-001    2.654e-001   -3.101e-003
  210     210.000s    2.669e-001    2.637e-001   -3.215e-003
  211     211.000s    2.654e-001    2.620e-001   -3.347e-003
  212     212.000s    2.638e-001    2.603e-001   -3.449e-003
  213     213.000s    2.622e-001    2.586e-001   -3.611e-003
  214     214.000s    2.608e-001    2.570e-001   -3.797e-003
  215     215.000s    2.592e-001    2.553e-001   -3.945e-003
  216     216.000s    2.577e-001    2.536e-001   -4.083e-003
  217     217.000s    2.562e-001    2.520e-001   -4.195e-003
  218     218.000s    2.546e-001    2.504e-001   -4.284e-003
  219     219.000s    2.531e-001    2.487e-001   -4.395e-003
  220     220.000s    2.516e-001    2.471e-001   -4.486e-003
  221     221.000s    2.501e-001    2.455e-001   -4.563e-003
  222     222.000s    2.486e-001    2.439e-001   -4.684e-003
  223     223.000s    2.472e-001    2.424e-001   -4.836e-003
  224     224.000s    2.458e-001    2.408e-001   -5.029e-003
  225     225.000s    2.444e-001    2.392e-001   -5.162e-003
  226     226.000s    2.430e-001    2.377e-001   -5.320e-003
  227     227.000s    2.416e-001    2.361e-001   -5.472e-003
  228     228.000s    2.402e-001    2.346e-001   -5.568e-003
  229     229.000s    2.388e-001    2.331e-001   -5.725e-003
  230     230.000s    2.374e-001    2.316e-001   -5.847e-003
  231     231.000s    2.361e-001    2.301e-001   -6.002e-003
  232     232.000s    2.348e-001    2.286e-001   -6.172e-003
  233     233.000s    2.334e-001    2.271e-001   -6.302e-003
  234     234.000s    2.321e-001    2.256e-001   -6.452e-003

============================================================

