Fit #1
T8_N3_Off Pars,Fit Value,Error
pB (%),2.800,2.800
dwB (ppm),0.34,0.02
kexAB (s^-1),1042,238
R1 (s^-1),1.53,0.06
R2 (s^-1),7.88,0.13
Red. Chi-sq,0.86
