Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),2.72,0.16
kexAB (s^-1),867,134
R1 (s^-1),1.66,0.07
R2 (s^-1),14.50,0.10
Red. Chi-sq,0.20
