Fit #1
gc1p Pars,Fit Value,Error
pB (%),1.300,1.300
dwB (ppm),3.88,0.07
kexAB (s^-1),555,15
R1 (s^-1),1.37,0.13
R2 (s^-1),16.86,0.20
Red. Chi-sq,0.55
