Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.600,2.600
dwB (ppm),2.41,0.02
kexAB (s^-1),2393,37
R1 (s^-1),2.60,0.12
R2 (s^-1),25.31,0.23
Red. Chi-sq,0.09
