Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.600,2.600
dwB (ppm),2.91,0.01
kexAB (s^-1),2393,37
R1 (s^-1),1.39,0.11
R2 (s^-1),17.95,0.20
Red. Chi-sq,0.09
