Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),3.58,0.06
kexAB (s^-1),2932,145
R1 (s^-1),2.94,0.05
R2 (s^-1),19.02,0.09
Red. Chi-sq,0.21
