Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),3.59,0.09
kexAB (s^-1),2932,145
R1 (s^-1),2.47,0.06
R2 (s^-1),13.07,0.12
Red. Chi-sq,0.21
