Fit #1
gc8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.72,0.05
kexAB (s^-1),4777,463
R1 (s^-1),2.09,0.24
R2 (s^-1),26.85,0.80
Red. Chi-sq,0.91
