Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),2.70,0.18
kexAB (s^-1),2870,507
R1 (s^-1),2.13,0.05
R2 (s^-1),22.23,0.15
Red. Chi-sq,0.21
