Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),1.76,0.12
kexAB (s^-1),5120,540
R1 (s^-1),1.87,0.04
R2 (s^-1),33.62,0.21
Red. Chi-sq,0.63
