Fit #1
A16_C1p_Off Pars,Fit Value,Error
pB (%),2.667,0.048
dwB (ppm),3.24,0.04
kexAB (s^-1),1842,67
R1 (s^-1),1.00,0.25
R2 (s^-1),19.58,0.42
Red. Chi-sq,0.43
