Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),3.35,0.18
kexAB (s^-1),1902,226
R1 (s^-1),1.89,0.10
R2 (s^-1),27.58,0.21
Red. Chi-sq,0.49
