Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),4.40,0.17
kexAB (s^-1),2948,332
R1 (s^-1),1.82,0.10
R2 (s^-1),21.01,0.21
Red. Chi-sq,0.38
