Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),3.87,0.21
kexAB (s^-1),2948,332
R1 (s^-1),2.10,0.12
R2 (s^-1),30.90,0.24
Red. Chi-sq,0.38
