Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.800,0.800
dwB (ppm),2.58,0.05
kexAB (s^-1),3731,160
R1 (s^-1),1.78,0.09
R2 (s^-1),17.12,0.25
Red. Chi-sq,0.24
