Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),4.15,0.00
kexAB (s^-1),10,1
R1 (s^-1),2.49,0.08
R2 (s^-1),19.69,0.10
Red. Chi-sq,1.12
