Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),4.70,0.00
kexAB (s^-1),10,1
R1 (s^-1),2.10,0.07
R2 (s^-1),13.75,0.09
Red. Chi-sq,1.12
