Fit #1
gc1p Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),2.84,0.03
kexAB (s^-1),38,2
R1 (s^-1),1.46,0.16
R2 (s^-1),18.49,0.19
Red. Chi-sq,1.33
