Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),3.97,0.06
kexAB (s^-1),1887,67
R1 (s^-1),2.02,0.08
R2 (s^-1),15.37,0.16
Red. Chi-sq,0.19
