Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),3.26,0.04
kexAB (s^-1),1887,67
R1 (s^-1),1.98,0.07
R2 (s^-1),20.93,0.13
Red. Chi-sq,0.19
