Fit #1
gc1p Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),3.91,0.02
kexAB (s^-1),39,1
R1 (s^-1),2.27,0.04
R2 (s^-1),13.98,0.08
Red. Chi-sq,0.37
