m,b
1,0.009816929534692487
1,-0.10362323032757437
1,-0.2370670428912065
1,-0.16358489390517295
1,-0.10326340823940841
1,-0.07329952370745074
1,-0.25669519611065295
1,-0.008004313867026047
1,-0.14214533541689184
1,-0.041410609224862324
1,-0.09779234380188062
1,-0.11563129230683256
1,-0.052970528853960364
1,-0.08357808864040361
1,-0.12513536827330385
1,-0.03752534822672482
1,-0.1937823488199839
1,-0.13738214569335794
1,-0.25405267418306265
1,-0.19517034541955683
1,-0.09888305569007994
1,-0.12799743137102304
1,-0.016440628630278953
1,-0.16476451257532188
1,-0.07897227277048469
1,-0.12006333922398937
1,-0.109762384574144
1,-0.16734457209964604
1,-0.11294299965529436
1,-0.04920805895702762
1,-0.02246175573463871
1,-0.14614726845388737
1,-0.08298090165785865
1,-0.07572653985481148
1,-0.06613309004020951
1,-0.13008271864921972
1,-0.03567404825012099
1,-0.08069931277650766
1,-0.08738819154512933
1,-0.23087912671393776
1,-0.22234098369655841
1,-0.20031256433437616
1,-0.048645034325916825
1,-0.1705722661461564
1,-0.0784082109363109
1,-0.11979396653801055
1,-0.22737388014385407
1,-0.15442255988282683
1,-0.08847072309177251
1,-0.08383890365001734
1,0.06178473446331345
1,-0.09319134510531302
1,-0.14980829979984223
1,-0.04131993918067711
1,-0.11945856043549934
1,-0.1233597278465075
1,-0.06222031330533073
1,-0.11770319578824062
1,-0.1144522570312001
1,-0.05514552672051454
1,-0.0671193450616856
1,-0.17749337089100825
1,-0.042976789122993964
1,-0.1377205413953193
1,-0.08015097928438353
1,-0.0875792347359492
1,-0.17521228347773632
1,-0.11453563675055989
1,-0.15426848290571926
1,-0.13190349176581484
1,-0.10648092276377819
1,-0.18871329762788652
1,-0.11238077862480944
1,-0.12313150097601677
1,-0.1791097064175493
1,-0.060937884984215485
1,-0.07829102322777448
1,-0.052186701682421566
1,-0.03498566738461517
1,-0.10754255498590704
1,-0.16875831961302956
1,-0.05884826621880679
1,-0.053295643600737685
1,-0.12101785607899185
1,-0.13039227498762362
1,-0.13243940560329603
1,-0.13378515341601527
1,-0.07445103603449299
1,-0.087897674237301
1,-0.1516966200608325
1,-0.06414388687861083
1,-0.16393677170889887
1,-0.16307702849380679
1,-0.0644116219085189
1,-0.16732192921267997
1,-0.17950767551101365
1,-0.11927353616557923
1,-0.07853881647085847
1,-0.21761417431203517
1,-0.22846325673622592
1,-0.07894024306054659
1,-0.11231909813782881
1,-0.15745084646012542
1,-0.10471828963725807
1,-0.2060216834091244
1,-0.1932158577105494
1,-0.12320636867254708
1,-0.08775372583571683
1,-0.18779973029742814
1,-0.13434117585675942
1,-0.13226009966586716
1,-0.0055560004943540076
1,-0.0842801100886148
1,-0.0181781881631915
1,-0.1563898144369169
1,-0.10570277051297561
1,-0.158796160841296
1,-0.1766977284830138
1,-0.1829962192565009
1,-0.004336213372566178
1,-0.05222248970124865
1,-0.1883801105930143
1,-0.1649213826857372
1,0.017777812688285266
1,-0.10705823612589782
1,-0.17596049562729532
1,-0.08957518076232662
1,-0.0550541302682348
1,-0.12622040457482583
1,-0.05207438090433181
1,-0.1710759690199397
1,-0.06258850366829649
1,-0.15506070946602146
1,-0.12922846729633145
1,-0.21298334951258036
1,-0.06386347251731883
1,-0.030696766466817627
1,-0.05834024584334396
1,-0.051073422940052016
1,-0.17620115719976503
1,-0.1294332816807655
1,-0.05931582354846901
1,-0.030757482413776405
1,-0.17405178083089057
1,-0.1912545967853248
1,-0.17769042345063624
1,-0.07709591933486526
1,-0.05931271581367081
1,-0.10716954531618628
1,-0.07362030520500928
1,-0.21254890963362127
1,-0.06233808182763134
1,-0.060048000158001415
1,-0.1329038186119389
1,-0.11124451644629905
1,-0.11327324719359444
1,-0.0681166670282849
1,-0.19220696030747741
1,-0.20185913619938312
1,-0.06877263670166855
1,-0.04603395228218177
1,-0.22124267915822204
1,0.06345928781199828
1,-0.19468721530880934
1,-0.13298847774825862
1,-0.18029134388453505
1,-0.19605800145638952
1,-0.028467616923655736
1,-0.06446669463583565
1,-0.207897153114595
1,-0.1343093453636406
1,-0.0847612106285418
1,-0.01821329158133489
1,0.020837898146568445
1,-0.10464790158593695
1,-0.09335438881046265
1,-0.07110603836765406
1,-0.07141120357147646
