Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),2.41,0.06
kexAB (s^-1),3404,204
R1 (s^-1),3.06,0.07
R2 (s^-1),24.34,0.21
Red. Chi-sq,0.23
