Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),1.39,0.05
kexAB (s^-1),39,7
R1 (s^-1),1.90,0.09
R2 (s^-1),33.48,0.21
Red. Chi-sq,1.19
