Fit #1
gc8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),3.66,0.02
kexAB (s^-1),70,1
R1 (s^-1),2.77,0.04
R2 (s^-1),20.29,0.08
Red. Chi-sq,0.40
