Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),2.62,0.02
kexAB (s^-1),182,2
R1 (s^-1),4.40,0.03
R2 (s^-1),13.99,0.04
Red. Chi-sq,0.52
