Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.734,0.014
dwB (ppm),3.93,0.02
kexAB (s^-1),691,18
R1 (s^-1),2.23,0.03
R2 (s^-1),13.32,0.06
Red. Chi-sq,0.16
