Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),3.72,0.11
kexAB (s^-1),284,11
R1 (s^-1),1.57,0.07
R2 (s^-1),16.82,0.08
Red. Chi-sq,0.14
