Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.80,0.05
kexAB (s^-1),4716,448
R1 (s^-1),3.35,0.10
R2 (s^-1),23.77,0.45
Red. Chi-sq,0.60
